Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),RH (%),WS (m/s)
01-01-2017 00:00,574.75,630.5,152.52,51.65,151.47,219.1,NA,NA,NA
01-01-2017 01:00,571.75,624.75,126.87,47.73,128.52,195.65,NA,NA,NA
01-01-2017 02:00,526.25,558.25,84.57,36.72,88.2,146.95,NA,NA,NA
01-01-2017 03:00,510.25,531,98.08,35.87,98.83,155.2,NA,NA,NA
01-01-2017 04:00,528.25,552.5,121.77,25.43,112.52,164.5,NA,NA,NA
01-01-2017 05:00,514,541.75,223.3,30.45,197.72,253.35,NA,NA,NA
01-01-2017 06:00,503.5,539.75,204.95,29.12,181.88,245.57,NA,NA,NA
01-01-2017 07:00,463.5,492.75,215.2,32.7,192.05,257.27,NA,NA,NA
01-01-2017 08:00,497.5,533.5,205.92,39.4,188.33,267.15,NA,NA,NA
01-01-2017 09:00,551,582.5,62.57,52.8,78.93,157.6,NA,NA,NA
01-01-2017 10:00,566.5,590,28.07,52.28,50.5,119.12,NA,NA,NA
01-01-2017 11:00,565,596.75,32.17,54.75,55.15,117.48,NA,NA,NA
01-01-2017 12:00,491.5,512,37.25,47.15,54.5,107.55,NA,NA,NA
01-01-2017 13:00,451,469.75,32.27,41.43,47.05,93.45,NA,NA,NA
01-01-2017 14:00,414.5,430.75,41.6,42.43,56.1,98.15,NA,NA,NA
01-01-2017 15:00,402.25,421.25,39.47,51.55,59.25,103.97,NA,NA,NA
01-01-2017 16:00,398.75,416.25,55.92,63.25,78.6,126.48,NA,NA,NA
01-01-2017 17:00,420.75,449.25,94.05,72.62,115.1,167.58,NA,NA,NA
01-01-2017 18:00,460.75,519.5,165.2,65.88,169.32,224.8,NA,NA,NA
01-01-2017 19:00,538.5,634,319.98,66.43,295.45,366.25,NA,NA,NA
01-01-2017 20:00,593.75,699.75,369.6,63.9,334.47,425.3,NA,NA,NA
01-01-2017 21:00,639,731.25,300.12,56.15,273.88,370.32,NA,NA,NA
01-01-2017 22:00,678,758.5,319.52,51.57,287.22,383.4,NA,NA,NA
01-01-2017 23:00,731.75,829.25,400.95,49.62,352.33,457.57,NA,NA,NA
02-01-2017 00:00,819,920.75,345.8,36.62,300.6,407,NA,NA,NA
02-01-2017 01:00,797.75,882,309.8,32.45,268.98,374.5,NA,NA,NA
02-01-2017 02:00,697.5,747,185.6,29.68,166.67,262.35,NA,NA,NA
02-01-2017 03:00,641.75,677.75,159.45,23.8,142.3,226.03,NA,NA,NA
02-01-2017 04:00,604.5,634,204.52,21.45,177.68,251.72,NA,NA,NA
02-01-2017 05:00,594.25,625.25,222.72,20.43,191.95,264.17,NA,NA,NA
02-01-2017 06:00,581.25,612.5,306.48,27.98,263.95,342.3,NA,NA,NA
02-01-2017 07:00,570.5,606.5,321.93,37.8,281.45,369.53,NA,NA,NA
02-01-2017 08:00,572,613.5,131.28,47.48,130.35,203.88,NA,NA,NA
02-01-2017 09:00,604,652,57.43,71.25,84.57,151.97,NA,NA,NA
02-01-2017 10:00,619.25,674.25,33.97,70.1,64.85,123.85,NA,NA,NA
02-01-2017 11:00,343.5,401,39.97,72.67,70.93,130.35,NA,NA,NA
02-01-2017 12:00,NA,NA,27.17,58.65,53.05,105.3,NA,NA,NA
02-01-2017 13:00,19.5,36.5,18.65,45.35,39.15,79.55,NA,NA,NA
02-01-2017 14:00,61,109,12.03,32.45,26.9,60.8,NA,NA,NA
02-01-2017 15:00,54.75,101.25,5.92,27.75,19.57,48.3,NA,NA,NA
02-01-2017 16:00,53.5,96.75,8.8,33.45,24.87,56.45,NA,NA,NA
02-01-2017 17:00,64.25,124.25,45.05,62.42,69.83,114.62,NA,NA,NA
02-01-2017 18:00,116.75,218,65.4,70.6,90.73,147.27,NA,NA,NA
02-01-2017 19:00,184.25,285.25,124.78,67.08,137.12,196.88,NA,NA,NA
02-01-2017 20:00,235,339.5,186,64.38,185.45,257.38,NA,NA,NA
02-01-2017 21:00,260,367.5,199.7,58.03,193.23,272.4,NA,NA,NA
02-01-2017 22:00,262.25,362.75,173.27,53.77,169.47,250,NA,NA,NA
02-01-2017 23:00,221.25,322,161.53,50.2,158.02,237.8,NA,NA,NA
03-01-2017 00:00,191,283.75,227.9,43.73,208.53,286.9,NA,NA,NA
03-01-2017 01:00,190.5,281.5,193.12,37.1,176.72,257.1,NA,NA,NA
03-01-2017 02:00,184.25,251.25,136.15,25.5,124.25,196.25,NA,NA,NA
